member_id,first_name,surname,sex,email,city
47,Joyce,Newton,F,Joyce.Ne@gmail.com,Herzelia
126,Macey,Almond,M,Macey.Almond@yahoo.com,Tel Aviv
68,Aydin,Hirst,M,Aydin.Hirst@hotmail.com,Tel Aviv
193,Mira,Kent,M,Mi.Kent@walla.co.il,Tel Aviv
53,Lilly-Ann,Frey,F,Li.Fr@hotmail.com,Tel Aviv
115,Rami,Sexton,M,Rami.Sexton@hotmail.com,Ramat Gan
192,Amrit,Haworth,M,Am.Ha@hotmail.com,Givatayim
19,Nico,Hastings,M,Ni.Hastings@walla.co.il,Givatayim
176,Amman,Zavala,F,Am.Zavala@gmail.com,Givatayim
130,Haleemah,Davidson,F,Haleemah.Da@yahoo.com,Tel Aviv
195,Samuel,Huerta,M,Sa.Huerta@gmail.com,Ramat Gan
191,Kara,Thompson,F,Kara.Thompson@gmail.com,Ramat Gan
84,Simone,Morse,F,Si.Mo@hotmail.com,Givatayim
77,Claude,Patel,M,Cl.Pa@yahoo.com,Tel Aviv
133,Liyana,Stanton,F,Li.Stanton@hotmail.com,Ramat Gan
67,Campbell,Alvarez,M,Campbell.Alvarez@hotmail.com,Givatayim
2,Landon,Bishop,F,La.Bi@gmail.com,Herzelia
69,Griff,Blackwell,M,Griff.Blackwell@walla.co.il,Ramat Hasharon
82,Misha,Ashley,M,Mi.As@hotmail.com,Ramat Hasharon
174,Freyja,Molina,F,Fr.Mo@hotmail.com,Tel Aviv
177,Sydney,Wells,F,Sy.Wells@yahoo.com,Tel Aviv
7,Asia,Tang,F,Asia.Ta@hotmail.com,Herzelia
58,Colleen,Steele,F,Co.St@hotmail.com,Tel Aviv
132,Yousuf,Banks,M,Yousuf.Ba@hotmail.com,Ramat Gan
162,Christos,Rodriquez,M,Ch.Ro@yahoo.com,Ramat Hasharon
128,Parker,Drake,M,Parker.Dr@walla.co.il,Ramat Hasharon
59,Jaydon,Trujillo,M,Jaydon.Tr@walla.co.il,Tel Aviv
22,Mikaela,Croft,F,Mi.Croft@gmail.com,Givatayim
198,Drew,Begum,M,Drew.Begum@gmail.com,Ramat Hasharon
196,Juan,Barlow,M,Juan.Ba@yahoo.com,Herzelia
140,Florrie,Wilson,F,Fl.Wilson@walla.co.il,Tel Aviv
150,Lilly-Mae,Greer,F,Li.Gr@hotmail.com,Ramat Hasharon
37,Robert,Mckee,M,Robert.Mckee@gmail.com,Herzelia
161,Callen,Dodd,M,Ca.Dodd@hotmail.com,Ramat Hasharon
18,Rohan,Farrell,F,Ro.Fa@yahoo.com,Ramat Hasharon
78,Whitney,Farrington,M,Whitney.Farrington@yahoo.com,Ramat Hasharon
100,Patryk,Burgess,M,Patryk.Burgess@yahoo.com,Herzelia
117,Lillie,Barnard,F,Li.Barnard@hotmail.com,Herzelia
27,Seth,Calvert,M,Se.Ca@walla.co.il,Ramat Hasharon
199,Nial,Meadows,M,Nial.Me@yahoo.com,Givatayim
143,Aman,Driscoll,M,Am.Dr@hotmail.com,Herzelia
51,Essa,Hope,M,Essa.Ho@walla.co.il,Herzelia
142,Atlanta,Cunningham,F,At.Cunningham@hotmail.com,Herzelia
113,Macie,Lara,F,Ma.La@gmail.com,Ramat Hasharon
96,Presley,Yu,F,Pr.Yu@walla.co.il,Ramat Hasharon
147,Ahsan,Oneil,M,Ah.On@walla.co.il,Herzelia
153,Kaiya,Robin,M,Ka.Robin@walla.co.il,Givatayim
48,Kaison,Harvey,M,Kaison.Harvey@yahoo.com,Ramat Gan
160,Yu,Hudson,F,Yu.Hu@yahoo.com,Tel Aviv
50,Jayda,Lord,F,Jayda.Lord@walla.co.il,Tel Aviv
73,Sohaib,Walls,M,Sohaib.Walls@gmail.com,Givatayim
76,Christina,Blankenship,F,Christina.Bl@walla.co.il,Herzelia
88,Anayah,Lee,F,Anayah.Lee@hotmail.com,Herzelia
144,Willie,Cairns,M,Willie.Ca@hotmail.com,Herzelia
167,Milan,Brookes,F,Mi.Br@gmail.com,Givatayim
97,Gabriel,Bannister,M,Ga.Bannister@gmail.com,Tel Aviv
104,Blake,Dyer,F,Blake.Dy@gmail.com,Ramat Hasharon
71,Cecil,Hatfield,M,Ce.Ha@hotmail.com,Ramat Hasharon
21,Marlon,Day,M,Marlon.Day@gmail.com,Tel Aviv
31,Kaisha,Watkins,F,Kaisha.Watkins@walla.co.il,Ramat Gan
14,Clarke,Ponce,M,Clarke.Ponce@walla.co.il,Ramat Gan
12,Glyn,Cooper,M,Gl.Co@hotmail.com,Ramat Hasharon
187,Niyah,Whelan,M,Niyah.Whelan@yahoo.com,Ramat Hasharon
94,Sayed,Irvine,M,Sayed.Ir@yahoo.com,Herzelia
138,Jiya,Raymond,F,Ji.Ra@hotmail.com,Givatayim
183,Elijah,Beech,M,Elijah.Be@hotmail.com,Tel Aviv
89,Jerry,Smith,F,Jerry.Sm@gmail.com,Givatayim
